2048,百慕三石,华语男歌手 
816079,薄彩生,华语男歌手 
30109388,贝乐虎,华语男歌手 
2103,血男孩,华语男歌手 
2034,鲍比达,华语男歌手 
1053147,笨笨口琴,华语男歌手 
12457194,边江,华语男歌手 
13568181,音墨泽,华语男歌手 
28900233,博仔,华语男歌手 
1132200,包胡尔查,华语男歌手 
2055,白天不亮,华语男歌手 
12090249,孛儿只斤·包迪,华语男歌手 
12279094,鲍鹏,华语男歌手 
2056,拜尔,华语男歌手 
1057198,B.C.W.懒领阶级,华语男歌手 
1038371,BlurryCloud,华语男歌手 
12523451,BrAnTB,华语男歌手 
2049,卞留念,华语男歌手 
12647412,巴图,华语男歌手 
14714187,薄云天,华语男歌手 
1044102,Viper毒蛇,华语男歌手 
2104,Beatsound,华语男歌手 
12817024,白静晨,华语男歌手 
2032,贝玛千贝仁波切,华语男歌手 
868113,BigKey,华语男歌手 
1078363,巴顿,华语男歌手 
14100563,白菜,华语男歌手 
2060,白羽,华语男歌手 
1081918,Ballrockin,华语男歌手 
1047011,白客,华语男歌手 
1032406,波比,华语男歌手 
2059,毕书尽,华语男歌手 
12263538,白凯南,华语男歌手 
2061,包伍,华语男歌手 
12646188,贲小伟,华语男歌手 
14100790,北疯,华语男歌手 
1060060,斑辣个马,华语男歌手 
1150216,巴图,华语男歌手 
11992127,包贝尔,华语男歌手 
2050,白音孟和,华语男歌手 
12108685,BLOW,华语男歌手 
12107259,白勺,华语男歌手 
12344330,BackToBand,华语男歌手 
900335,卜凡,华语男歌手 
1057274,包青山,华语男歌手 
12607112,白悟言,华语男歌手 
1060124,周迪,华语男歌手 
1040104,Blindman,华语男歌手 
28085512,北戴河蔡各庄小学合唱团,华语男歌手 
29148257,北京蓝天艺术合唱小组,华语男歌手 
2025,B6,华语男歌手 
12421010,卜文武,华语男歌手 
1087669,BK532,华语男歌手 
1032373,边远,华语男歌手 
2071,白龙,华语男歌手 
12309204,BuddahKillah,华语男歌手 
228408,Bloody Woods,华语男歌手 
15023268,BOWZ 豹子胆,华语男歌手 
1038088,贝歌,华语男歌手 
1047265,波仔,华语男歌手 
30616567,白兮晨,华语男歌手 
13498726,百灵,华语男歌手 
2030,百川,华语男歌手 
2073,鲍元恺,华语男歌手 
1047057,BEC包子,华语男歌手 
2054,白金,华语男歌手 
2101,Barry,华语男歌手 
12493121,YoungBoyDan,华语男歌手 
27692361,北木森,华语男歌手 
13706227,表哥,华语男歌手 
1065002,Bikman,华语男歌手 
2116,陈奕迅,华语男歌手 
1058228,陈鸿宇,华语男歌手 
14420803,陈雪燃,华语男歌手 
2112,陈小春,华语男歌手 
13933117,陈泫孝（大泫）,华语男歌手 
2127,陈柏宇,华语男歌手 
12079044,陈硕子,华语男歌手 
12095299,陈柯宇,华语男歌手 
2115,陈百强,华语男歌手 
12131566,CLOUDWANG 王云,华语男歌手 
2117,侧田,华语男歌手 
2201,陈势安,华语男歌手 
13056440,陈立农,华语男歌手 
2199,陈威全,华语男歌手 
2121,蔡旻佑,华语男歌手 
2331,陈翔,华语男歌手 
2110,曹格,华语男歌手 
12634049,丛铭君,华语男歌手 
2124,陈楚生,华语男歌手 
2118,成龙,华语男歌手 
1084178,Candy_Wind,华语男歌手 
2150,陈冠蒲,华语男歌手 
1044054,R7CKY,华语男歌手 
963409,陈学冬,华语男歌手 
12132471,陈信喆,华语男歌手 
2159,曹轩宾,华语男歌手 
189379,陈鹏杰,华语男歌手 
1038074,茶茶,华语男歌手 
2122,陈冠希,华语男歌手 
2294,陈光荣,华语男歌手 
28083351,CORSAK,华语男歌手 
31055,Cee,华语男歌手 
2111,崔健,华语男歌手 
14100493,崔伟立,华语男歌手 
2130,蔡国权,华语男歌手 
963431,陈致逸,华语男歌手 
2153,常石磊,华语男歌手 
12879051,陈红鲤,华语男歌手 
2125,陈晓东,华语男歌手 
2338,船长,华语男歌手 
1043290,传琦SAMA,华语男歌手 
14470079,CG,华语男歌手 
6557,曾一鸣,华语男歌手 
2147,陈旭,华语男歌手 
2113,车继铃,华语男歌手 
12474254,陈飞宇,华语男歌手 
2135,陈勋奇,华语男歌手 
13228454,蔡威泽,华语男歌手 
964450,陈奕夫,华语男歌手 
2141,陈雷,华语男歌手 
2134,陈坤,华语男歌手 
2131,川子,华语男歌手 
12023426,CARTA,华语男歌手 
2164,陈伟霆,华语男歌手 
12010027,陈柏霖,华语男歌手 
6608,曾志伟,华语男歌手 
28103230,蔡维泽,华语男歌手 
2202,陈其钢,华语男歌手 
6862,曾志豪,华语男歌手 
168021,陈俊彤,华语男歌手 
1041027,Chace,华语男歌手 
12312092,曹方瑞,华语男歌手 
224360,陈亮,华语男歌手 
28085360,林童学,华语男歌手 
900139,曾经艺也,华语男歌手 
2209,陈少华,华语男歌手 
2138,陈浩民,华语男歌手 
2414,曹越,华语男歌手 
2276,崔京浩,华语男歌手 
1046063,蔡方萌,华语男歌手 
1132979,蔡照,华语男歌手 
1043304,曹思义,华语男歌手 
941023,曹槽,华语男歌手 
826307,陈晓,华语男歌手 
2448,曹秦,华语男歌手 
2428,陈劭康KOMIC,华语男歌手 
2119,蔡国庆,华语男歌手 
2336,程池,华语男歌手 
854358,陈令韬,华语男歌手 
